ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B09SFYSW66,,"31 Pcs Guitar Maintenance Tool Kit, POGOLAB Guitar Repairing Tool Kit with Carrying Bag for Ukulele Bass Mandolin Banjo, Gift for Music String Instrument Enthusiast",Musical Instruments & DJ,20.99,1166,142,80.7,1,,,18.16,0.89,Yes,Alibaba - Demo Alibaba Supplier,6.30,1.50,7.80,6.97,0.3,0.9,8.47,
B0F17LB992,,"Guitar Cleaning Kit: Gloss Wax,Fret Polish,Fingerboard Lemon Oil,String Cleaner Oil,Masking Tape,Cleaning Brush & Cleaning Cloth Extends Fretboard and String Life",Musical Instruments & DJ,22.99,542,243,78.8,2,,,31.72,0.75,Yes,Alibaba - Demo Alibaba Supplier,6.90,1.50,8.40,8.07,0.4,1.0,9.57,
B0DFCWK2C7,,"Havendi Clip-On Tuner I Guitar, Bass, Violin & Ukulele Tuner I Precise Tuning with Color Display & 360° Rotation I Includes Battery – Chromatic Guitar Tuner for Musicians",Musical Instruments & DJ,12.90,681,207,78.8,1,,,12.34,0.87,Yes,Alibaba - Demo Alibaba Supplier,3.87,1.50,5.37,2.52,0.2,0.5,4.02,
B087BRJ1ZD,,Mulucky 5 String Banjo Mini - 26 Inch Travel Banjo Sapele Body Closed Solid Back Beginner Kit With Gig Bag Picks Strings Strap - B806,Musical Instruments & DJ,99.99,2620,80,75.4,1,,,155.97,0.66,Yes,Alibaba - Demo Alibaba Supplier,30.00,1.50,31.50,50.42,0.5,1.6,51.92,
B07DG3D3G1,,"Vangoa 5 String Banjo Remo Head Closed Solid Back with beginner Kit, Tuner, Strap, Pick up, Strings, Picks and Bag",Musical Instruments & DJ,169.89,5748,46,72.8,1,,,166.57,0.92,Yes,Alibaba - Demo Alibaba Supplier,50.97,1.50,52.47,88.87,0.5,1.7,90.37,
B088PQGSKB,,"72 PCS Guitar Accessories Kit, FOVERN1 Guitar Tools Set Including Guitar Picks, Capo, Tuner, Guitar Strings, 3 in 1String Winder,Bridge Pins, 6 String Bone Bridge Saddle and Nut, Finger Picks",Musical Instruments & DJ,15.99,3142,71,72.8,1,,,17.97,0.80,Yes,Alibaba - Demo Alibaba Supplier,4.80,1.50,6.30,4.22,0.3,0.7,5.72,
B07RGVBY4V,,Vangoa A Style Mandolin Acoustic Electric Mandolins Instrument for Beginner Red Sunburst Mahogany with Gig Bag Picks Strings Tuner Strap,Musical Instruments & DJ,139.99,6141,44,72.2,1,,,99.97,0.92,Yes,Alibaba - Demo Alibaba Supplier,42.00,1.50,43.50,72.42,0.5,1.7,73.92,
B087M27985,,"Vangoa Mandolin Instrument A Style Sunburst Acoustic Mandolin for Beginners with Tuner, Strings, Gig Bag, Picks",Musical Instruments & DJ,109.98,6141,44,71.5,1,,,97.10,0.87,Yes,Alibaba - Demo Alibaba Supplier,32.99,1.50,34.49,55.92,0.5,1.6,57.42,
B0FNWSLXTH,,"132 Pcs Guitar Maintenance Tool Kit, Guitar Repair Tool Kit with Carry Bag, Guitar Care Cleaning Accessories, for Ukulele Bass Mandolin Banjo, Perfect Gift for Music String Instrument Enthusiast",Musical Instruments & DJ,27.99,5876,45,71.2,1,,,28.62,0.94,Yes,Alibaba - Demo Alibaba Supplier,8.40,1.50,9.90,10.82,0.4,1.1,12.32,
B0G5PXVJBN,,72Pcs Guitar Maintenance Kit with Winder: Lifegogo Guitar Tool Kit with Carry Bag Picks Bridge Pins Hex Wrenches String Action Ruler Guitars Setup Kits for Music Instrument Beginner,Musical Instruments & DJ,22.99,10269,31,68.8,1,,,22.99,1.00,Yes,Alibaba - Demo Alibaba Supplier,6.90,1.50,8.40,8.07,0.4,1.0,9.57,
